,0
0,0
1,0
2,1
3,3
4,-1
5,-1
6,2
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,3
14,2
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,3
23,0
24,-1
25,-1
26,4
27,-1
28,-1
29,-1
30,-1
31,0
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,0
39,-1
40,-1
41,-1
42,-1
43,1
44,3
45,-1
46,-1
47,1
48,-1
49,1
50,1
51,0
52,0
53,0
54,-1
55,-1
56,1
57,-1
58,-1
59,-1
60,1
61,1
62,0
63,2
64,-1
65,2
66,0
67,-1
68,-1
69,-1
70,1
71,0
72,3
73,-1
74,-1
75,-1
76,1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,4
85,-1
86,-1
87,3
88,2
89,-1
90,0
91,-1
92,-1
93,-1
94,-1
95,-1
96,-1
97,3
98,-1
99,-1
100,4
101,3
102,-1
103,-1
104,-1
105,-1
106,-1
107,0
108,-1
109,-1
110,-1
111,-1
112,3
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,1
125,-1
126,-1
127,-1
128,-1
129,-1
130,2
131,-1
132,0
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,0
140,5
141,0
142,0
143,0
144,0
145,-1
146,0
147,-1
148,0
149,0
150,5
151,0
152,0
153,-1
154,4
155,0
156,0
157,0
158,5
159,0
160,-1
161,0
162,0
163,0
164,0
165,0
166,4
167,0
168,0
169,-1
170,-1
171,0
172,0
173,0
174,0
175,-1
176,0
177,0
178,4
179,0
180,0
181,0
182,-1
183,0
184,4
185,0
186,0
187,0
188,-1
189,5
190,0
191,0
192,5
193,0
194,5
195,0
196,0
197,5
198,-1
