,0
0,-1
1,-1
2,-1
3,0
4,1
5,2
6,-1
7,1
8,-1
9,-1
10,10
11,-1
12,1
13,2
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,1
21,-1
22,1
23,-1
24,1
25,1
26,-1
27,1
28,1
29,-1
30,-1
31,-1
32,-1
33,0
34,1
35,-1
36,-1
37,3
38,-1
39,-1
40,-1
41,-1
42,-1
43,4
44,-1
45,-1
46,-1
47,-1
48,-1
49,1
50,3
51,1
52,-1
53,5
54,-1
55,5
56,-1
57,-1
58,-1
59,2
60,6
61,1
62,1
63,-1
64,-1
65,-1
66,-1
67,-1
68,5
69,7
70,-1
71,6
72,-1
73,8
74,-1
75,1
76,-1
77,1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,-1
85,1
86,-1
87,-1
88,1
89,-1
90,1
91,-1
92,-1
93,-1
94,-1
95,-1
96,1
97,1
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,3
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,6
115,-1
116,7
117,-1
118,-1
119,-1
120,-1
121,6
122,1
123,-1
124,6
125,-1
126,1
127,-1
128,4
129,-1
130,-1
131,-1
132,1
133,8
134,-1
135,0
136,1
137,2
138,1
139,-1
140,-1
141,1
142,-1
143,-1
144,1
145,-1
146,-1
147,1
148,1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,11
157,5
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,2
165,-1
166,-1
167,-1
168,0
169,-1
170,2
171,-1
172,-1
173,-1
174,-1
175,-1
176,5
177,1
178,1
179,-1
180,6
181,1
182,0
183,-1
184,-1
185,1
186,-1
187,7
188,-1
189,6
190,1
191,-1
192,-1
193,-1
194,1
195,-1
196,-1
197,1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,1
219,8
220,2
221,-1
222,6
223,6
224,-1
225,-1
226,-1
227,9
228,4
229,6
230,-1
231,1
232,1
233,1
234,8
235,1
236,-1
237,-1
238,-1
239,6
240,-1
241,-1
242,-1
243,-1
244,1
245,1
246,-1
247,-1
248,6
249,6
250,4
251,1
252,7
253,-1
254,4
255,-1
256,1
257,-1
258,3
259,-1
260,-1
261,-1
262,6
263,-1
264,-1
265,-1
266,3
267,1
268,3
269,6
270,-1
271,-1
272,-1
273,4
274,-1
275,1
276,1
277,-1
278,-1
279,4
280,3
281,1
282,-1
283,4
284,-1
285,1
286,1
287,-1
288,8
289,-1
290,-1
291,-1
292,0
293,1
294,1
295,1
296,6
297,-1
298,-1
299,6
300,-1
301,3
302,-1
303,-1
304,-1
305,-1
306,10
307,-1
308,-1
309,-1
310,1
311,1
312,7
313,1
314,-1
315,6
316,-1
317,-1
318,6
319,-1
320,-1
321,-1
322,-1
323,6
324,-1
325,0
326,-1
327,-1
328,1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,6
341,1
342,-1
343,10
344,1
345,-1
346,1
347,-1
348,-1
349,0
350,-1
351,0
352,-1
353,0
354,1
355,-1
356,9
357,-1
358,0
359,-1
360,-1
361,1
362,1
363,6
364,1
365,-1
366,1
367,3
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,0
375,-1
376,-1
377,1
378,-1
379,1
380,6
381,-1
382,-1
383,-1
384,1
385,-1
386,-1
387,-1
388,-1
389,-1
390,0
391,-1
392,4
393,-1
394,1
395,1
396,1
397,-1
398,-1
399,-1
400,1
401,-1
402,-1
403,1
404,6
405,-1
406,-1
407,-1
408,-1
409,-1
410,2
411,6
412,-1
413,-1
414,3
415,1
416,-1
417,-1
418,6
419,-1
420,1
421,3
422,-1
423,1
424,-1
425,1
426,-1
427,-1
428,-1
429,-1
430,1
431,1
432,6
433,1
434,1
435,6
436,-1
437,9
438,1
439,8
440,-1
441,-1
442,-1
443,2
444,-1
445,-1
446,6
447,-1
448,1
449,-1
450,-1
451,-1
452,-1
453,1
454,-1
455,-1
456,-1
457,-1
458,-1
459,6
460,-1
461,6
462,1
463,-1
464,1
465,-1
466,1
467,1
468,2
469,-1
470,-1
471,-1
472,-1
473,1
474,-1
475,6
476,-1
477,1
478,1
479,1
480,1
481,-1
482,3
483,1
484,3
485,-1
486,11
487,1
488,-1
489,-1
490,4
491,1
492,-1
493,-1
494,1
495,1
496,-1
497,-1
498,1
499,2
500,1
501,-1
502,-1
503,7
504,-1
505,1
506,-1
507,6
508,1
509,1
510,6
511,-1
512,3
513,1
514,-1
515,1
516,-1
517,1
518,1
519,-1
520,1
521,-1
522,1
523,-1
524,4
525,1
526,5
527,9
528,1
529,-1
530,1
531,-1
532,-1
533,4
534,-1
535,-1
536,1
537,-1
538,-1
539,-1
540,6
541,1
542,1
543,-1
544,1
545,-1
546,1
547,6
548,-1
549,-1
550,-1
551,3
552,1
553,0
554,-1
555,-1
556,1
557,1
558,-1
559,-1
560,4
561,-1
562,6
563,1
564,-1
565,3
566,1
567,6
568,1
569,-1
570,6
571,-1
572,-1
573,-1
574,-1
575,-1
576,2
577,-1
578,-1
579,1
580,1
581,6
582,-1
583,11
584,-1
585,-1
586,-1
587,-1
588,-1
589,1
590,1
591,1
592,-1
593,-1
594,-1
595,-1
596,1
597,-1
598,-1
599,-1
600,-1
601,3
602,1
603,-1
604,-1
605,1
606,-1
607,1
608,1
609,-1
610,11
611,-1
612,-1
613,-1
614,-1
615,1
616,-1
617,1
618,1
619,-1
620,-1
621,-1
622,4
623,-1
624,-1
625,1
626,6
627,1
628,-1
629,1
630,-1
631,-1
632,-1
633,1
634,-1
635,-1
636,5
637,3
638,1
639,3
640,1
641,-1
642,1
643,0
644,1
645,-1
646,-1
647,6
648,0
649,-1
650,6
651,-1
652,3
653,-1
654,4
655,1
656,1
657,1
658,9
659,1
660,-1
661,3
662,-1
663,1
664,-1
665,2
666,1
667,-1
668,-1
669,1
670,-1
671,6
672,1
673,-1
674,-1
675,-1
676,-1
677,1
678,-1
679,6
680,-1
681,1
682,-1
683,1
684,0
685,-1
686,6
687,9
688,3
689,11
690,10
691,-1
692,-1
693,1
694,-1
695,-1
696,1
697,-1
698,-1
699,-1
700,1
701,-1
702,-1
703,-1
704,6
705,-1
706,4
707,1
708,-1
709,-1
710,-1
711,-1
712,1
