,0
0,0
1,-1
2,-1
3,1
4,0
5,2
6,-1
7,0
8,-1
9,-1
10,3
11,-1
12,0
13,2
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,0
21,4
22,0
23,3
24,0
25,0
26,5
27,0
28,0
29,-1
30,-1
31,0
32,-1
33,1
34,0
35,-1
36,-1
37,6
38,-1
39,7
40,-1
41,8
42,9
43,0
44,-1
45,-1
46,10
47,7
48,-1
49,0
50,6
51,0
52,3
53,11
54,1
55,11
56,3
57,12
58,-1
59,2
60,3
61,0
62,0
63,13
64,-1
65,14
66,15
67,16
68,11
69,0
70,-1
71,3
72,17
73,18
74,-1
75,0
76,-1
77,0
78,19
79,3
80,-1
81,-1
82,-1
83,-1
84,20
85,0
86,10
87,0
88,0
89,21
90,0
91,-1
92,22
93,-1
94,-1
95,23
96,0
97,0
98,3
99,-1
100,-1
101,24
102,1
103,-1
104,-1
105,6
106,25
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,26
114,3
115,-1
116,0
117,18
118,21
119,27
120,28
121,3
122,0
123,1
124,3
125,0
126,0
127,8
128,0
129,-1
130,29
131,30
132,0
133,18
134,-1
135,1
136,0
137,2
138,0
139,-1
140,31
141,0
142,-1
143,-1
144,0
145,18
146,32
147,0
148,0
149,33
150,34
151,35
152,-1
153,-1
154,14
155,6
156,33
157,11
158,25
159,-1
160,36
161,-1
162,-1
163,0
164,2
165,-1
166,-1
167,37
168,1
169,38
170,2
171,3
172,18
173,-1
174,-1
175,-1
176,11
177,0
178,0
179,-1
180,3
181,0
182,1
183,6
184,-1
185,0
186,39
187,0
188,40
189,3
190,0
191,-1
192,3
193,40
194,0
195,41
196,10
197,0
198,-1
199,3
200,3
201,-1
202,-1
203,-1
204,23
205,-1
206,24
207,0
208,1
209,42
210,16
211,-1
212,3
213,-1
214,16
215,-1
216,37
217,-1
218,0
219,18
220,2
221,-1
222,3
223,3
224,43
225,-1
226,-1
227,0
228,0
229,3
230,-1
231,0
232,0
233,0
234,18
235,0
236,24
237,-1
238,-1
239,3
240,0
241,44
242,-1
243,-1
244,0
245,0
246,45
247,46
248,3
249,3
250,0
251,0
252,0
253,-1
254,0
255,47
256,0
257,0
258,6
259,-1
260,42
261,-1
262,3
263,-1
264,15
265,16
266,6
267,0
268,6
269,3
270,6
271,-1
272,48
273,0
274,-1
275,0
276,0
277,-1
278,-1
279,0
280,6
281,0
282,-1
283,0
284,3
285,0
286,0
287,0
288,18
289,31
290,-1
291,-1
292,1
293,0
294,0
295,0
296,3
297,-1
298,-1
299,3
300,-1
301,6
302,-1
303,49
304,50
305,-1
306,3
307,-1
308,-1
309,51
310,0
311,0
312,0
313,0
314,52
315,3
316,53
317,54
318,3
319,-1
320,0
321,-1
322,-1
323,3
324,52
325,1
326,-1
327,-1
328,0
329,-1
330,-1
331,33
332,-1
333,0
334,0
335,0
336,16
337,55
338,1
339,-1
340,3
341,0
342,-1
343,3
344,0
345,-1
346,0
347,-1
348,56
349,1
350,33
351,1
352,-1
353,1
354,0
355,-1
356,0
357,8
358,1
359,3
360,-1
361,0
362,0
363,3
364,0
365,22
366,0
367,6
368,-1
369,-1
370,-1
371,-1
372,57
373,-1
374,1
375,0
376,0
377,0
378,0
379,0
380,3
381,32
382,16
383,-1
384,0
385,3
386,0
387,58
388,52
389,-1
390,1
391,-1
392,0
393,-1
394,0
395,0
396,0
397,-1
398,-1
399,-1
400,0
401,-1
402,-1
403,0
404,3
405,-1
406,46
407,0
408,29
409,1
410,2
411,3
412,20
413,-1
414,6
415,0
416,-1
417,26
418,3
419,1
420,0
421,6
422,59
423,0
424,60
425,0
426,-1
427,61
428,62
429,63
430,0
431,0
432,3
433,0
434,0
435,3
436,22
437,0
438,0
439,18
440,-1
441,-1
442,63
443,2
444,0
445,-1
446,3
447,3
448,0
449,-1
450,-1
451,0
452,-1
453,0
454,0
455,-1
456,3
457,-1
458,64
459,3
460,-1
461,3
462,0
463,65
464,0
465,66
466,0
467,0
468,2
469,-1
470,26
471,-1
472,-1
473,0
474,-1
475,3
476,29
477,0
478,0
479,0
480,0
481,8
482,6
483,0
484,6
485,3
486,33
487,0
488,-1
489,67
490,0
491,0
492,-1
493,-1
494,0
495,0
496,-1
497,-1
498,0
499,2
500,0
501,-1
502,-1
503,0
504,7
505,0
506,-1
507,3
508,0
509,0
510,3
511,68
512,6
513,0
514,-1
515,0
516,-1
517,0
518,0
519,-1
520,0
521,1
522,0
523,-1
524,0
525,0
526,11
527,0
528,0
529,29
530,0
531,56
532,-1
533,0
534,60
535,-1
536,0
537,69
538,-1
539,-1
540,3
541,0
542,0
543,49
544,0
545,-1
546,0
547,3
548,70
549,1
550,16
551,6
552,0
553,1
554,-1
555,-1
556,0
557,0
558,3
559,-1
560,0
561,-1
562,3
563,0
564,53
565,6
566,0
567,3
568,0
569,56
570,3
571,-1
572,-1
573,70
574,14
575,58
576,2
577,71
578,-1
579,0
580,0
581,3
582,-1
583,33
584,3
585,-1
586,1
587,6
588,64
589,0
590,0
591,0
592,3
593,-1
594,-1
595,-1
596,0
597,72
598,14
599,-1
600,-1
601,6
602,0
603,-1
604,-1
605,0
606,-1
607,0
608,0
609,-1
610,33
611,-1
612,-1
613,-1
614,3
615,0
616,28
617,0
618,0
619,-1
620,-1
621,-1
622,0
623,5
624,-1
625,0
626,3
627,0
628,0
629,0
630,-1
631,10
632,38
633,0
634,-1
635,-1
636,11
637,6
638,0
639,6
640,0
641,12
642,0
643,1
644,0
645,1
646,3
647,3
648,1
649,-1
650,3
651,66
652,6
653,73
654,0
655,0
656,0
657,0
658,0
659,0
660,24
661,6
662,-1
663,0
664,53
665,2
666,0
667,-1
668,0
669,0
670,-1
671,3
672,0
673,-1
674,3
675,16
676,-1
677,0
678,-1
679,3
680,3
681,0
682,-1
683,0
684,1
685,-1
686,3
687,0
688,6
689,33
690,3
691,-1
692,-1
693,0
694,18
695,74
696,0
697,1
698,-1
699,-1
700,0
701,59
702,72
703,-1
704,3
705,75
706,0
707,0
708,-1
709,76
710,-1
711,-1
712,0
713,26
714,-1
715,-1
716,3
717,3
718,3
719,-1
720,0
721,3
722,3
723,0
724,0
725,0
726,0
727,8
728,-1
729,2
730,0
731,0
732,-1
733,-1
734,-1
735,0
736,75
737,0
738,-1
739,35
740,-1
741,0
742,39
743,-1
744,0
745,-1
746,3
747,1
748,0
749,-1
750,6
751,0
752,3
753,0
754,3
755,53
756,56
757,0
758,0
759,0
760,0
761,63
762,24
763,3
764,3
765,65
766,3
767,0
768,0
769,1
770,0
771,0
772,3
773,3
774,0
775,0
776,51
777,-1
778,-1
779,77
780,3
781,0
782,-1
783,-1
784,24
785,0
786,61
787,-1
788,78
789,0
790,3
791,79
792,0
793,0
794,-1
795,64
796,0
797,3
798,80
799,29
800,0
801,0
802,0
803,77
804,3
805,24
806,3
807,0
808,6
809,-1
810,-1
811,-1
812,3
813,3
814,1
815,0
816,0
817,0
818,-1
819,-1
820,0
821,0
822,0
823,3
824,33
825,30
826,1
827,-1
828,2
829,3
830,-1
831,1
832,0
833,0
834,0
835,18
836,-1
837,-1
838,3
839,1
840,-1
841,6
842,81
843,0
844,-1
845,-1
846,0
847,0
848,48
849,52
850,82
851,0
852,-1
853,0
854,-1
855,6
856,3
857,0
858,0
859,49
860,3
861,0
862,0
863,1
864,3
865,6
866,80
867,-1
868,74
869,-1
870,16
871,0
872,33
873,-1
874,3
875,3
876,-1
877,-1
878,-1
879,-1
880,71
881,0
882,6
883,1
884,3
885,6
886,-1
887,2
888,3
889,0
890,3
891,-1
892,6
893,0
894,-1
895,3
896,-1
897,0
898,0
899,-1
900,-1
901,0
902,0
903,0
904,0
905,3
906,0
907,25
908,-1
909,0
910,-1
911,3
912,-1
913,3
914,0
915,-1
916,3
917,2
918,3
919,6
920,6
921,2
922,3
923,-1
924,0
925,3
926,0
927,3
928,6
929,0
930,0
931,3
932,0
933,0
934,0
935,0
936,6
937,83
938,0
939,2
940,0
941,0
942,0
943,55
944,3
945,-1
946,0
947,70
948,6
949,0
950,1
951,-1
952,-1
953,-1
954,0
955,3
956,-1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,62
968,0
969,3
970,84
971,78
972,0
973,11
974,-1
975,16
976,63
977,0
978,3
979,17
980,-1
981,0
982,0
983,-1
984,0
985,24
986,-1
987,3
988,58
989,85
990,-1
991,-1
992,-1
993,0
994,0
995,0
996,34
997,86
998,0
999,0
1000,33
1001,-1
1002,16
1003,0
1004,87
1005,0
1006,0
