,0
0,-1
1,-1
2,-1
3,4
4,0
5,1
6,-1
7,0
8,-1
9,-1
10,-1
11,-1
12,0
13,1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,0
21,-1
22,0
23,-1
24,0
25,0
26,-1
27,0
28,0
29,-1
30,-1
31,0
32,0
33,4
34,0
35,-1
36,-1
37,2
38,-1
39,-1
40,-1
41,-1
42,0
43,0
44,-1
45,-1
46,-1
47,-1
48,-1
49,0
50,2
51,0
52,-1
53,7
54,-1
55,7
56,-1
57,-1
58,-1
59,1
60,5
61,0
62,0
63,-1
64,-1
65,-1
66,-1
67,-1
68,7
69,0
70,-1
71,-1
72,0
73,3
74,-1
75,0
76,-1
77,0
78,-1
79,-1
80,-1
81,-1
82,-1
83,0
84,-1
85,0
86,-1
87,0
88,0
89,-1
90,0
91,-1
92,-1
93,-1
94,-1
95,-1
96,0
97,0
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,2
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,5
115,-1
116,0
117,-1
118,-1
119,-1
120,-1
121,-1
122,0
123,-1
124,5
125,0
126,0
127,-1
128,0
129,-1
130,-1
131,-1
132,0
133,3
134,-1
135,4
136,0
137,1
138,0
139,-1
140,-1
141,0
142,-1
143,-1
144,0
145,3
146,-1
147,0
148,0
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,2
156,-1
157,7
158,-1
159,-1
160,-1
161,-1
162,-1
163,0
164,1
165,-1
166,-1
167,-1
168,4
169,-1
170,1
171,-1
172,-1
173,-1
174,-1
175,0
176,7
177,0
178,0
179,-1
180,5
181,0
182,4
183,-1
184,-1
185,0
186,-1
187,0
188,-1
189,-1
190,0
191,-1
192,-1
193,-1
194,0
195,-1
196,-1
197,0
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,0
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,0
219,3
220,1
221,-1
222,5
223,5
224,-1
225,-1
226,-1
227,0
228,0
229,-1
230,-1
231,0
232,0
233,0
234,3
235,0
236,-1
237,-1
238,-1
239,4
240,0
241,1
242,-1
243,-1
244,0
245,0
246,-1
247,-1
248,-1
249,-1
250,0
251,0
252,0
253,-1
254,0
255,-1
256,0
257,0
258,2
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,2
267,0
268,2
269,5
270,2
271,-1
272,0
273,0
274,-1
275,0
276,0
277,-1
278,-1
279,0
280,2
281,0
282,-1
283,0
284,-1
285,0
286,0
287,0
288,3
289,-1
290,-1
291,-1
292,4
293,0
294,0
295,0
296,5
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,0
311,0
312,0
313,0
314,-1
315,5
316,-1
317,-1
318,5
319,-1
320,0
321,3
322,-1
323,5
324,-1
325,-1
326,-1
327,-1
328,0
329,-1
330,-1
331,-1
332,-1
333,0
334,0
335,0
336,-1
337,-1
338,-1
339,-1
340,5
341,0
342,-1
343,-1
344,0
345,-1
346,0
347,-1
348,-1
349,4
350,-1
351,4
352,-1
353,4
354,0
355,-1
356,0
357,-1
358,-1
359,-1
360,-1
361,0
362,0
363,-1
364,0
365,-1
366,0
367,2
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,4
375,0
376,-1
377,0
378,0
379,0
380,5
381,-1
382,-1
383,-1
384,0
385,-1
386,0
387,-1
388,-1
389,-1
390,4
391,-1
392,0
393,-1
394,0
395,0
396,0
397,-1
398,-1
399,-1
400,0
401,-1
402,-1
403,0
404,5
405,-1
406,-1
407,-1
408,-1
409,-1
410,1
411,-1
412,-1
413,-1
414,2
415,0
416,-1
417,-1
418,-1
419,-1
420,0
421,2
422,-1
423,0
424,-1
425,0
426,-1
427,-1
428,-1
429,-1
430,0
431,0
432,-1
433,0
434,0
435,5
436,-1
437,0
438,0
439,3
440,-1
441,-1
442,-1
443,1
444,0
445,-1
446,5
447,-1
448,0
449,-1
450,-1
451,0
452,-1
453,0
454,0
455,-1
456,-1
457,-1
458,-1
459,5
460,-1
461,-1
462,0
463,-1
464,0
465,-1
466,0
467,0
468,1
469,-1
470,-1
471,-1
472,-1
473,0
474,-1
475,-1
476,-1
477,0
478,0
479,0
480,0
481,-1
482,2
483,0
484,2
485,-1
486,-1
487,0
488,-1
489,-1
490,0
491,0
492,-1
493,0
494,0
495,0
496,-1
497,-1
498,0
499,1
500,0
501,-1
502,-1
503,0
504,-1
505,0
506,-1
507,-1
508,0
509,0
510,-1
511,-1
512,2
513,0
514,-1
515,0
516,-1
517,0
518,0
519,-1
520,0
521,-1
522,0
523,-1
524,0
525,0
526,7
527,0
528,0
529,-1
530,0
531,-1
532,-1
533,0
534,-1
535,-1
536,0
537,-1
538,-1
539,-1
540,5
541,0
542,0
543,-1
544,0
545,-1
546,0
547,-1
548,-1
549,4
550,-1
551,2
552,0
553,4
554,-1
555,-1
556,0
557,0
558,-1
559,-1
560,0
561,-1
562,-1
563,0
564,-1
565,2
566,0
567,5
568,0
569,-1
570,-1
571,-1
572,-1
573,-1
574,-1
575,0
576,1
577,-1
578,-1
579,0
580,0
581,5
582,-1
583,-1
584,-1
585,-1
586,-1
587,-1
588,-1
589,0
590,0
591,0
592,-1
593,-1
594,-1
595,-1
596,0
597,-1
598,-1
599,-1
600,-1
601,2
602,0
603,-1
604,-1
605,0
606,-1
607,0
608,0
609,-1
610,-1
611,-1
612,-1
613,-1
614,-1
615,0
616,-1
617,0
618,0
619,-1
620,-1
621,-1
622,0
623,-1
624,-1
625,0
626,5
627,0
628,0
629,0
630,-1
631,-1
632,-1
633,0
634,-1
635,-1
636,7
637,2
638,0
639,2
640,0
641,-1
642,0
643,4
644,0
645,-1
646,-1
647,-1
648,-1
649,-1
650,-1
651,-1
652,2
653,-1
654,0
655,0
656,0
657,0
658,0
659,0
660,-1
661,2
662,-1
663,0
664,0
665,1
666,0
667,-1
668,0
669,0
670,-1
671,5
672,0
673,-1
674,-1
675,-1
676,-1
677,0
678,3
679,5
680,-1
681,0
682,-1
683,0
684,4
685,-1
686,5
687,0
688,2
689,-1
690,-1
691,-1
692,-1
693,0
694,-1
695,0
696,0
697,-1
698,-1
699,-1
700,0
701,-1
702,-1
703,4
704,5
705,-1
706,0
707,0
708,-1
709,-1
710,-1
711,-1
712,0
