,0
0,9
1,0
2,1
3,2
4,2
5,0
6,1
7,0
8,2
9,1
10,3
11,1
12,4
13,1
14,0
15,1
16,2
17,0
18,0
19,2
20,2
21,1
22,0
23,1
24,1
25,5
26,0
27,-1
28,2
29,2
30,0
31,1
32,2
33,2
34,1
35,1
36,1
37,0
38,1
39,2
40,2
41,5
42,2
43,1
44,1
45,5
46,-1
47,1
48,4
49,2
50,2
51,1
52,0
53,1
54,2
55,0
56,1
57,5
58,1
59,0
60,1
61,2
62,2
63,2
64,1
65,2
66,1
67,1
68,2
69,1
70,1
71,0
72,1
73,2
74,1
75,1
76,1
77,0
78,1
79,1
80,2
81,2
82,9
83,2
84,2
85,2
86,1
87,1
88,6
89,2
90,2
91,1
92,1
93,0
94,1
95,1
96,0
97,7
98,2
99,1
100,5
101,0
102,1
103,5
104,1
105,-1
106,1
107,2
108,1
109,1
110,2
111,0
112,1
113,5
114,2
115,2
116,1
117,8
118,2
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,1
127,2
128,1
129,1
130,1
131,5
132,1
133,5
134,0
135,0
136,0
137,-1
138,1
139,-1
140,0
141,0
142,0
143,1
144,-1
145,1
146,1
147,1
148,5
149,0
150,-1
151,9
152,0
153,2
154,1
155,2
156,5
157,0
158,0
159,2
160,0
161,0
162,1
163,1
164,2
165,1
166,1
167,1
168,0
169,1
170,2
171,1
172,1
173,1
174,1
175,5
176,1
177,1
178,1
179,2
180,1
181,1
182,1
183,2
184,3
185,10
186,5
187,1
188,1
189,1
190,-1
191,1
192,0
193,2
194,5
195,9
196,2
197,1
198,1
199,2
200,5
201,2
202,3
203,1
204,5
205,5
206,1
207,1
208,5
209,1
210,7
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,2
220,0
221,2
222,1
223,1
224,10
225,2
226,2
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,2
236,1
237,0
238,5
239,0
240,1
241,0
242,1
243,2
244,2
245,5
246,0
247,1
248,1
249,10
250,1
251,2
252,1
253,1
254,0
255,1
256,-1
257,2
258,5
259,2
260,-1
261,2
262,1
263,1
264,1
265,1
266,5
267,1
268,0
269,-1
270,2
271,1
272,5
273,5
274,-1
275,0
276,0
277,3
278,9
279,1
280,10
281,1
282,1
283,2
284,2
285,1
286,9
287,2
288,0
289,1
290,1
291,0
292,1
293,1
294,1
295,10
296,1
297,1
298,0
299,5
300,-1
301,1
302,1
303,1
304,5
305,9
306,1
307,0
308,0
309,1
310,5
311,0
312,2
313,1
314,0
315,3
316,-1
317,5
318,5
319,9
320,2
321,0
322,1
323,1
324,1
325,2
326,2
327,-1
328,6
329,0
330,2
331,0
332,0
333,6
334,1
335,1
336,1
337,0
338,2
339,2
340,1
341,1
342,1
343,1
344,9
345,0
346,1
347,2
348,5
349,1
350,1
351,1
352,1
353,1
354,0
355,2
356,2
357,2
358,1
359,5
360,1
361,6
362,2
363,5
364,5
365,-1
366,-1
367,1
368,1
369,5
370,0
371,0
372,1
373,2
374,1
375,-1
376,2
377,10
378,2
379,1
380,0
381,2
382,2
383,9
384,5
385,5
386,-1
387,1
388,1
389,0
390,1
391,2
392,1
393,5
394,3
395,2
396,1
397,5
398,1
399,1
400,5
401,-1
402,1
403,3
404,2
405,0
406,2
407,1
408,0
409,-1
410,5
411,5
412,0
413,5
414,-1
415,2
416,0
417,2
418,9
419,1
420,0
421,2
422,5
423,2
424,1
425,3
426,10
427,1
428,1
429,5
430,0
431,2
432,10
433,0
434,0
435,2
436,1
437,5
438,2
439,2
440,1
441,1
442,2
443,0
444,5
445,1
446,6
447,5
448,9
449,0
450,-1
451,4
452,-1
453,5
454,1
455,5
456,1
457,0
458,5
459,1
460,0
461,2
462,-1
463,10
464,1
465,2
466,5
467,1
468,1
469,2
470,2
471,2
472,1
473,0
474,0
475,0
476,2
477,1
478,0
479,9
480,5
481,2
482,2
483,1
484,-1
485,0
486,0
487,2
488,5
489,5
490,1
491,10
492,-1
493,10
494,0
495,5
496,2
497,2
498,0
499,5
500,5
501,5
502,1
503,5
504,1
505,0
506,2
507,2
508,9
509,1
510,0
511,1
512,2
513,5
514,3
515,5
516,5
517,1
518,1
519,1
520,0
521,1
522,1
523,0
524,1
525,0
526,0
527,1
528,-1
529,0
530,5
531,1
532,-1
533,6
534,-1
535,1
536,1
537,5
538,1
539,0
540,0
541,10
542,-1
543,5
544,9
545,1
546,5
547,5
548,1
549,0
550,5
551,6
552,0
553,0
554,2
555,10
556,5
557,-1
558,-1
559,0
560,5
561,0
562,1
563,5
564,1
565,-1
566,2
567,5
568,1
569,0
570,1
571,-1
572,2
573,-1
574,0
575,2
576,0
577,2
578,1
579,0
580,2
581,0
582,1
583,2
584,0
585,2
586,1
587,2
588,0
589,3
590,1
591,-1
592,2
593,2
594,1
595,2
596,1
597,2
598,2
599,1
600,2
601,10
602,0
603,0
604,2
605,1
606,0
607,1
608,1
609,-1
610,1
611,0
612,1
613,2
614,1
615,5
616,1
617,1
618,5
619,1
620,2
621,1
622,0
623,1
624,2
625,5
626,6
627,1
628,5
629,1
630,2
631,-1
632,5
633,2
634,0
635,6
636,2
637,1
638,1
639,-1
640,2
641,-1
642,1
643,5
644,5
645,0
646,0
647,-1
648,5
649,2
650,0
651,2
652,10
653,1
654,5
655,5
656,0
657,1
658,2
659,1
660,1
661,5
662,2
663,5
664,3
665,2
666,5
667,-1
668,2
669,-1
670,0
671,5
