,0
0,1
1,4
2,0
3,0
4,2
5,1
6,0
7,2
8,3
9,2
10,2
11,0
12,2
13,1
14,2
15,0
16,0
17,3
18,4
19,0
20,2
21,4
22,2
23,2
24,2
25,2
26,0
27,1
28,2
29,3
30,3
31,2
32,1
33,0
34,2
35,2
36,4
37,2
38,4
39,0
40,3
41,4
42,2
43,1
44,2
45,0
46,0
47,0
48,3
49,2
50,3
51,1
52,2
53,0
54,3
55,0
56,2
57,3
58,0
59,1
60,0
61,2
62,2
63,3
64,3
65,3
66,1
67,0
68,0
69,2
70,4
71,0
72,2
73,0
74,2
75,2
76,3
77,2
78,3
79,2
80,0
81,2
82,3
83,2
84,0
85,2
86,0
87,1
88,2
89,0
90,1
91,0
92,2
93,0
94,1
95,0
96,2
97,2
98,3
99,0
100,0
101,0
102,0
103,4
104,2
105,2
106,4
107,0
108,3
109,2
110,0
111,3
112,0
113,0
114,0
115,0
116,2
117,0
118,0
119,0
120,0
121,0
122,2
123,0
124,4
125,2
126,2
127,4
128,1
129,3
130,0
131,2
132,2
133,0
134,0
135,0
136,2
137,1
138,2
139,0
140,0
141,2
142,2
143,3
144,2
145,0
146,0
147,2
148,2
149,0
150,0
151,0
152,3
153,0
154,3
155,2
156,0
157,0
158,4
159,3
160,2
161,4
162,3
163,2
164,1
165,0
166,2
167,3
168,0
169,1
170,1
171,2
172,0
173,3
174,3
175,2
176,0
177,2
178,2
179,3
180,0
181,2
182,0
183,1
184,0
185,1
186,3
187,2
188,3
189,2
190,2
191,0
192,0
193,3
194,1
195,3
196,0
197,2
198,2
199,4
200,2
201,2
202,4
203,0
204,0
205,0
206,0
207,2
208,3
209,0
210,0
211,1
212,4
213,3
214,3
215,3
216,3
217,3
218,2
219,0
220,1
221,0
222,2
223,3
224,0
225,0
226,0
227,2
228,2
229,2
230,2
231,2
232,2
233,1
234,0
235,2
236,0
237,0
238,0
239,0
240,2
241,1
242,0
243,0
244,2
245,1
246,1
247,4
248,2
249,0
250,2
251,2
252,2
253,0
254,2
255,3
256,2
257,2
258,2
259,0
260,0
261,2
262,2
263,2
264,1
265,0
266,2
267,2
268,2
269,2
270,2
271,0
272,2
273,2
274,0
275,2
276,2
277,4
278,0
279,2
280,2
281,2
282,0
283,2
284,0
285,2
286,2
287,2
288,0
289,0
290,0
291,0
292,0
293,2
294,2
295,2
296,0
297,0
298,4
299,2
300,0
301,1
302,2
303,0
304,2
305,2
306,2
307,3
308,3
309,3
310,2
311,2
312,2
313,2
314,3
315,2
316,3
317,3
318,3
319,3
320,1
321,0
322,0
323,2
324,3
325,0
326,2
327,0
328,2
329,0
330,0
331,0
332,0
333,1
334,2
335,1
336,0
337,0
338,0
339,3
340,2
341,2
342,0
343,2
344,1
345,0
346,2
347,0
348,0
