,0
0,7
1,6
2,4
3,2
4,3
5,1
6,6
7,3
8,2
9,7
10,2
11,5
12,3
13,1
14,2
15,5
16,6
17,2
18,2
19,4
20,3
21,5
22,3
23,2
24,3
25,3
26,4
27,0
28,3
29,5
30,6
31,3
32,7
33,2
34,3
35,2
36,6
37,0
38,5
39,4
40,2
41,2
42,3
43,7
44,7
45,4
46,5
47,4
48,6
49,3
50,0
51,0
52,2
53,5
54,2
55,5
56,2
57,6
58,6
59,1
60,2
61,3
62,3
63,6
64,6
65,2
66,7
67,2
68,5
69,7
70,5
71,2
72,3
73,4
74,0
75,3
76,6
77,3
78,6
79,2
80,6
81,6
82,5
83,3
84,5
85,3
86,5
87,7
88,3
89,5
90,0
91,6
92,7
93,5
94,7
95,6
96,3
97,3
98,2
99,4
100,4
101,4
102,2
103,2
104,6
105,0
106,2
107,6
108,6
109,6
110,5
111,6
112,5
113,5
114,2
115,4
116,7
117,4
118,5
119,4
120,5
121,2
122,3
123,2
124,2
125,7
126,3
127,2
128,7
129,6
130,6
131,2
132,3
133,4
134,4
135,2
136,3
137,1
138,3
139,4
140,6
141,3
142,6
143,2
144,3
145,4
146,6
147,3
148,3
149,5
150,5
151,4
152,5
153,5
154,2
155,0
156,5
157,5
158,2
159,2
160,7
161,5
162,2
163,7
164,1
165,6
166,3
167,6
168,2
169,7
170,1
171,6
172,4
173,6
174,6
175,7
176,5
177,3
178,3
179,6
180,2
181,3
182,2
183,0
184,4
185,0
186,2
187,7
188,6
189,2
190,3
191,5
192,2
193,6
194,0
195,2
196,5
197,3
198,2
199,2
200,2
201,6
202,6
203,5
204,6
205,6
206,4
207,3
208,2
209,5
210,2
211,7
212,2
213,6
214,2
215,6
216,6
217,7
218,3
219,4
220,1
221,6
222,2
223,2
224,6
225,5
226,4
227,7
228,7
229,2
230,6
231,3
232,3
233,0
234,4
235,3
236,4
237,2
238,6
239,2
240,3
241,1
242,6
243,5
244,3
245,0
246,7
247,5
248,2
249,2
250,7
251,3
252,7
253,5
254,7
255,6
256,0
257,7
258,0
259,6
260,5
261,2
262,2
263,6
264,7
265,2
266,0
267,3
268,0
269,2
270,0
271,2
272,3
273,7
274,2
275,3
276,3
277,6
278,6
279,7
280,0
281,3
282,2
283,7
284,2
285,3
286,3
287,7
288,4
289,6
290,4
291,6
292,2
293,3
294,3
295,3
296,2
297,5
298,2
299,2
300,5
301,0
302,2
303,4
304,2
305,2
306,2
307,2
308,6
309,2
310,3
311,3
312,7
313,3
314,6
315,2
316,2
317,5
318,2
319,6
320,7
321,4
322,5
323,2
324,6
325,2
326,7
327,4
328,3
329,4
330,5
331,5
332,5
333,7
334,7
335,7
336,2
337,6
338,2
339,6
340,2
341,3
342,6
343,2
344,0
345,4
346,3
347,5
348,6
349,2
350,5
351,2
352,4
353,2
354,0
355,6
356,7
357,2
358,2
359,2
360,6
361,3
362,3
363,2
364,3
365,7
366,3
367,0
368,6
369,5
370,4
371,5
372,7
373,4
374,2
375,7
376,3
377,3
378,0
379,3
380,2
381,6
382,2
383,6
384,3
385,2
386,0
387,0
388,6
389,6
390,2
391,0
392,7
393,2
394,3
395,3
396,3
397,4
398,4
399,4
400,3
401,4
402,4
403,3
404,2
405,2
406,5
407,3
408,4
409,2
410,1
411,2
412,5
413,6
414,0
415,3
416,6
417,5
418,2
419,2
420,3
421,0
422,6
423,3
424,5
425,3
426,5
427,5
428,6
429,7
430,3
431,3
432,2
433,3
434,3
435,2
436,7
437,7
438,3
439,4
440,5
441,4
442,0
443,1
444,7
445,5
446,2
447,2
448,3
449,6
450,4
451,7
452,4
453,3
454,7
455,5
456,2
457,2
458,6
459,2
460,4
461,2
462,3
463,6
464,3
465,6
466,3
467,3
468,1
469,2
470,5
471,6
472,5
473,3
474,6
475,2
476,6
477,3
478,3
479,3
480,3
481,2
482,0
483,3
484,0
485,2
