num,id,ingredients
0,Andouille-Sausage-Jambalaya-with-Shrimp-1643594,"['andouille sausage', 'canola oil', 'onions', 'celery', 'bell pepper', 'garlic cloves', 'creole seasoning', 'dried thyme', 'fire roasted diced tomatoes', 'chicken broth', 'rice', 'shrimp', 'fresh parsley', 'sliced green onions', 'hot sauce']"
1,Cajun-Style-Smothered-Pork-Chops-2214828,"['pork chops', 'flour', 'creole seasoning', 'extra-virgin olive oil', 'butter', 'chopped celery', 'chopped onion', 'chopped green bell pepper', 'chicken broth', 'worcestershire sauce']"
2,Crispy-Cajun-Shrimp-Fettuccine-2256380,"['fettucine', 'large shrimp', 'cajun seasoning', 'flour', 'butter', 'olive oil', 'low sodium chicken broth', 'heavy cream', 'salt', 'pepper', 'parmesan cheese', 'fresh parsley']"
3,Crock-Pot-Chicken-Breasts-in-Creamy-Creole-Sauce-2136569,"['butter', 'green onions', 'yellow onion', 'green bell pepper', 'celery', 'thick-cut bacon', 'flour', 'chicken broth', 'tomato paste', 'cajun seasoning', 'boneless chicken breast halves', 'chicken fingers', 'cream']"
4,Creamy-Cajun-Shrimp-Pasta-2060295,"['shrimp', 'cajun seasoning', 'butter', 'red pepper', 'minced garlic', 'heavy whipping cream', 'grated parmesan cheese', 'basil', 'pepper', 'linguine']"
5,Gumbo-2197569,"['canola oil', 'smoked sausage', 'skinless chicken thighs', 'flour', 'unsalted butter', 'green bell pepper', 'onions', 'chopped celery', 'minced garlic', 'tomatoes', 'crab leg', 'creole seasoning', 'smoked paprika', 'chicken-flavored soup powder', 'thyme', 'bay leaves', 'chicken stock', 'shrimp', 'chopped parsley', 'green onions', 'gumbo file', 'cooked rice']"
6,Spiced-Creole-Shrimp-with-Tomatoes-2216759,"['butter', 'onions', 'garlic', 'green bell pepper', 'celery', 'stewed tomatoes', 'dry white wine', 'Tabasco Pepper Sauce', 'salt', 'cracked black pepper', 'celery seed', 'thyme', 'parsley', 'shrimp']"
7,Cajun-Chicken-with-Coriander-and-Lime-Rice-2149007,"['long-grain rice', 'cajun seasoning', 'skinless chicken breasts', 'olive oil', 'red bell pepper', 'yellow bell pepper', 'green bell pepper', 'yellow onion', 'coriander', 'lime', 'avocado']"
8,Cajun-Chicken-Spaghetti-783107,"['thin spaghetti', 'chicken breasts', 'chicken broth', 'heavy cream', 'mozzarella cheese', 'cajun seasoning', 'butter', 'flour', 'pepper', 'paprika', 'olive oil', 'Tabasco Pepper Sauce']"
9,Crawfish-and-Seafood-Pasta-with-Cream-2154167,"['linguine', 'olive oil', 'unsalted butter', 'yellow onion', 'minced garlic', 'cajun seasoning', 'salt', 'cayenne', 'dry white wine', 'heavy cream', 'fresh lemon juice', 'crawfish', 'shrimp', 'green onions', 'fresh parsley leaves', 'grated parmesan cheese']"
10,Clean-Eating-Slow-Cooker-Creole-Chicken-Stew-1706014,"['olive oil', 'onions', 'celery', 'green bell pepper', 'garlic', 'tomato paste', 'chopped tomatoes', 'low sodium chicken broth', 'cajun seasoning', 'black pepper', 'bay leaves', 'dried thyme', 'boneless skinless chicken thighs', 'scallions', 'chopped parsley', 'hot sauce']"
11,Creole-Gumbo-1962810,"['water', 'gumbo base', 'oil', 'shrimp', 'smoked sausage', 'gumbo file']"
12,Cajun-Shrimp-Quinoa-Casserole-1285453,"['large shrimp', 'medium tomatoes', 'jalapeno chilies', 'sweet onion', 'garlic', 'tomato paste', 'olive oil', 'cajun seasoning', 'salt', 'pepper', 'cooked quinoa', 'shredded fontina', 'fresh cilantro']"
13,Cajun-Shrimp-Fettuccine-Alfredo-755208,"['fettucine', 'butter', 'shrimp', 'cajun seasoning', 'garlic', 'dry white wine', 'heavy whipping cream', 'parmigiano reggiano cheese', 'green onions']"
14,Quick-and-easy-spicy-broiled-shrimp-309433,"['shrimp', 'extra-virgin olive oil', 'lemon', 'worcestershire sauce', 'creole seasoning', 'salt', 'ground pepper']"
15,Crispy-Cajun-Chicken-2076600,"['chicken cutlets', 'hot sauce', 'cajun seasoning', 'panko breadcrumbs', 'olive oil', 'crushed red pepper flakes', 'garlic powder', 'paprika', 'dried oregano', 'dried thyme', 'cracked black pepper', 'onion powder']"
16,Blackened-catfish-tacos-351294,"['catfish', 'melted butter', 'creole seasoning', 'tortillas', 'lettuce', 'pico de gallo', 'sauce', 'hot sauce']"
17,Cajun-Chicken-with-Mardi-Gras-Salsa-475067,"['chicken breasts', 'cajun seasoning', 'pineapple', 'red onion', 'jalapeno chilies', 'chopped cilantro', 'juice', 'pepper', 'salt']"
18,Cajun-Blackened-Catfish-1067219,"['catfish fillets', 'blackening seasoning', 'olive oil', 'lemon']"
19,Authentic-New-Orlean_s-Style-Gumbo-1225571,"['flour', 'oil', 'celery', 'green pepper', 'yellow onion', 'green onions', 'parsley', 'garlic', 'cajun seasoning', 'homemade chicken stock', 'andouille sausage', 'rotisserie chicken', 'cooked shrimp', 'cooked white rice']"
