num,id,ingredients
0,Greek-style-roast-leg-of-lamb-with-lemon-roasted-potatoes-351156,"['garlic', 'leg of lamb', 'oregano', 'rosemary', 'thyme', 'lemon', 'olive oil', 'dijon mustard', 'paprika', 'sea salt', 'pepper', 'potatoes', 'salt']"
1,Greek-Style-Pork-Chops-1062107,"['red wine vinegar', 'dried oregano', 'olive oil', 'minced garlic', 'pork loin chops', 'greek yogurt', 'fresh dill', 'cucumber', 'lemon juice', 'salt', 'plum tomatoes', 'diced red onions']"
2,Cauliflower-Pizza-with-Greek-Yogurt-Pesto-_-Grilled-Veggies-2143920,"['cauliflower', 'garlic', 'salt', 'italian seasoning', 'pepper', 'parmesan cheese', 'large egg whites', 'nonfat greek yogurt', 'fresh basil', 'olive oil', 'zucchini', 'roma tomatoes']"
3,Greek-Lemon-Chicken-and-Potatoes-Both-Homers-Would-Love-This-1253791,"['chicken', 'meat bones', 'russet potatoes', 'kosher salt', 'ground black pepper', 'dried rosemary', 'dried oregano', 'cayenne', 'garlic', 'fresh lemon juice', 'olive oil', 'chicken broth', 'oregano']"
4,Recipe-for-Slow-Cooker-_Crock-Pot_-Beef-Gyros-with-Tzatziki-Sauce-2043029,"['beef stew meat', 'onions', 'extra-virgin olive oil', 'minced garlic', 'dried oregano', 'salt', 'pepper', 'fresh lemon juice', 'pitas', 'sliced tomatoes', 'lettuce', 'plain greek yogurt', 'cucumber', 'dried dill', 'garlic cloves']"
5,Greek-Chicken-Souvlaki-1702117,"['chicken breasts', 'olive oil', 'lemon juice', 'dried oregano', 'salt', 'garlic powder']"
6,Greek-Chicken-1071376,"['boneless skinless chicken breasts', 'greek seasoning', 'coconut oil', 'lemon']"
7,Greek-seasoned-grilled-pork-chops-with-lemon-and-oregano-309571,"['pork sirloin chops', 'olive oil', 'lemon juice', 'red wine vinegar', 'lemon zest', 'oregano', 'garlic', 'ground black pepper']"
8,SLOW-COOKER-GREEK-POT-ROAST-1083633,"['chuck roast', 'beef broth', 'cooking wine', 'onions', 'greek seasoning', 'pepper', 'salt']"
9,GORGEOUS-GREEK-CHICKEN-AND-POTATOES-1205966,"['chicken', 'lemon', 'extra-virgin olive oil', 'salt', 'ground black pepper', 'dried oregano', 'garlic', 'potatoes']"
10,Greek-inspired-leftover-brown-rice-casserole-with-red-pepper_-onions_-and-feta-309588,"['brown rice', 'olive oil', 'onions', 'red bell pepper', 'greek seasoning', 'feta cheese crumbles', 'chicken stock']"
11,Grilled-Greek-Chicken-1125353,"['olive oil', 'minced garlic', 'fresh rosemary', 'chopped fresh thyme', 'fresh oregano', 'lemon', 'ground pepper', 'skinless chicken pieces', 'nonfat plain greek yogurt', 'light sour cream', 'English cucumber', 'dill', 'salt']"
12,Greek-Chicken-Souvlaki-1707430,"['chicken breasts', 'olive oil', 'lemon juice', 'dried oregano', 'salt', 'garlic powder']"
