num,id,ingredients
0,Roasted-Chicken-Thighs-with-Mushrooms_-Onions_-and-Rosemary-2363858,"['chicken thighs', 'salt', 'pepper', 'olive oil', 'red onion', 'sliced mushrooms', 'dried rosemary', 'fresh parsley']"
1,Stromboli-1024536,"['pizza doughs', 'cheese', 'meat', 'egg yolks', 'garlic powder', 'dried oregano', 'dried parsley']"
2,Gnocchi-Closet-Cooking-54963,"['russet potatoes', 'eggs', 'flour', 'salt']"
3,Fresh-Egg-Pasta-Dough-2302418,"['Tipo 00 flour', 'semolina flour', 'fine sea salt', 'grated nutmeg', 'extra large eggs', 'extra-virgin olive oil']"
4,5-Ingredient-Italian-Sausage-and-Kale-Baked-Ziti-2121096,"['ziti', 'ground Italian sausage', 'garlic', 'kale leaves', 'shredded mozzarella cheese', 'shredded parmesan cheese', 'crushed red pepper flakes']"
5,Lasagna-with-a-twist-297336,"['ground beef', 'Ragu Sauce', 'dried oregano leaves, crushed', 'part-skim ricotta cheese', 'part-skim mozzarella cheese', 'grated parmesan cheese', 'rotini pasta, cook and drain']"
6,Creamy-Tuscan-Garlic-Chicken-2173670,"['boneless skinless chicken breasts', 'olive oil', 'heavy cream', 'chicken broth', 'garlic powder', 'italian seasoning', 'parmesan cheese', 'spinach', 'sun-dried tomatoes']"
7,Italian-Ravioli-with-Spinach_-Artichokes_-Capers_-Sun-Dried-Tomatoes-2376487,"['ravioli', 'olive oil', 'sun-dried tomatoes', 'artichoke hearts', 'capers', 'italian seasoning', 'spinach']"
8,Aglio-e-Olio-Fettuccine-2337951,"['fettucine', 'olive oil', 'garlic', 'red pepper flakes', 'salt', 'pepper', 'parsley', 'parmesan cheese', 'lemon juice']"
9,Low-Carb-Baked-Chicken-Stuffed-with-Pesto-and-Cheese-_Video_-2302263,"['boneless skinless chicken breasts', 'pesto', 'low-fat sour cream', 'mozzarella cheese', 'sour cream', 'eggs', 'grated parmesan cheese', 'almond flour', 'black pepper']"
10,Roman-style-spaghetti-alla-carbonara-306162,"['guanciale', 'spaghetti', 'large eggs', 'pecorino romano cheese']"
11,Lasagna-494544,"['lasagna noodles', 'meat sauce', 'ricotta', 'shredded mozzarella cheese']"
12,Italian-Stuffed-Peppers-2320396,"['red bell pepper', 'lean ground beef', 'chopped onion', 'cooked rice', 'mccormick perfect pinch italian seasoning', 'McCormick Garlic Powder', 'salt', 'McCormick Black Pepper', 'tomato sauce', 'shredded mozzarella cheese']"
13,One-Pot-Pizza-Pasta-Bake-2261016,"['olive oil', 'sausage casings', 'pepperoni', 'tomato sauce', 'dried oregano', 'dried basil', 'garlic powder', 'rotini pasta', 'kosher salt', 'freshly ground black pepper', 'shredded mozzarella cheese', 'fresh parsley leaves']"
14,Broccoli-pesto-pasta-305608,"['spaghetti', 'broccoli', 'pesto', 'extra-virgin olive oil', 'grated parmesan cheese', 'salt']"
15,Baked-Garlic-Parmesan-Chicken-1032476,"['olive oil', 'minced garlic', 'dry bread crumbs', 'parmesan cheese', 'dried basil', 'black pepper', 'chicken breasts']"
