num,id,ingredients
0,Southern-Chicken-and-Dumplings-2141598,"['chicken', 'salt', 'flour', 'crisco shortening', 'buttermilk', 'cold water', 'butter', 'milk']"
1,Mama_s-Fried-Chicken-1894447,"['whole chicken', 'salt', 'pepper', 'buttermilk', 'self rising flour', 'vegetable oil']"
2,Crock-Pot-Shrimp-and-Cheese-Grits-2121408,"['grits', 'salt', 'pepper', 'heavy cream', 'shredded cheese', 'butter', 'hot sauce', 'deveined shrimp', 'chives']"
3,Extra-Crispy-Spicy-Fried-Chicken-with-Popeye-2150600,"['eggs', 'water', 'red pepper sauce', 'flour', 'pepper', 'paprika', 'cayenne pepper', 'buttermilk', 'salt', 'garlic powder', 'chicken', 'peanut oil', 'mayonnaise', 'lemon juice', 'vegetable oil', 'chili sauce', 'ketchup', 'onion powder', 'prepared mustard', 'worcestershire sauce', 'hot pepper sauce', 'garlic']"
4,Southern-Fried-Salmon-Patties-1565888,"['pink salmon', 'eggs', 'onions', 'cornmeal', 'flour', 'salt', 'freshly ground black pepper']"
5,The-Ultimate-Southern-Fried-Chicken-1682151,"['large eggs', 'kosher salt', 'all-purpose flour', 'corn starch', 'garlic powder', 'paprika', 'crushed red pepper', 'freshly ground black pepper', 'chicken', 'vegetable oil']"
6,Mississippi-Roast-604574,"['chuck roast', 'ranch-style seasoning', 'au jus gravy mix', 'butter', 'water', 'pepperoncini']"
7,Mississippi-Pot-Roast-897064,"['pot roast', 'ranch dressing', 'au jus mix', 'pepperoncini', 'butter']"
8,Southern-Fried-Chicken-Strips-1564501,"['eggs', 'buttermilk', 'all-purpose flour', 'garlic powder', 'pepper', 'paprika', 'chicken tenderloin', 'oil', 'kosher salt', 'grated parmesan cheese']"
9,Cajun-Fried-Chicken-2203231,"['chicken', 'salt', 'freshly ground black pepper', 'cayenne pepper', 'ground white pepper', 'garlic powder', 'Louisiana Hot Sauce', 'buttermilk', 'lard', 'all-purpose flour']"
10,Southern-Style-Pulled-Pork-BBQ-471484,"['pork roast', 'salt', 'black pepper', 'cider vinegar', 'brown sugar', 'hot sauce', 'crushed red pepper flakes']"
11,Buttermilk-Fried-Chicken-Food-And-Wine,"['whole milk', 'kosher salt', 'sugar', 'chicken', 'buttermilk', 'large eggs', 'sweet paprika', 'hot sauce', 'freshly ground pepper', 'baking powder', 'baking soda', 'all-purpose flour', 'vegetable oil']"
12,Pan-Fried-Catfish-2216231,"['canola oil', 'catfish fillets', 'cajun seasoning', 'salt', 'pepper', 'cornmeal', 'flour', 'buttermilk']"
13,Nawlins-Low-Country-Boil-514773,"['Johnsonville Andouille', 'Klondike Gourmet mini potatoes', 'water', 'shrimp and crab boil seasoning', 'old bay seasoning', 'lemon', 'sweet corn', 'jumbo shrimp']"
14,North-Carolina-Style-Pulled-Pork-2215925,"['cider vinegar', 'sugar', 'crushed red pepper', 'salt', 'ground black pepper', 'boneless pork shoulder', 'pepper']"
15,Carolina-pulled-pork-304440,"['pork', 'Lipton® Recipe Secrets® Onion Soup Mix', 'ketchup', 'firmly packed brown sugar', 'apple cider vinegar', 'hot pepper sauce', 'prepared mustard']"
16,Southern-Fried-Chicken-Recipe-_Low-Carb-and-Gluten-Free_-2184587,"['chicken leg quarters', 'salt', 'pepper', 'garlic powder', 'paprika', 'coconut flour', 'oil']"
17,Chicken-Fried-Steak-_Country-Fried_-1517241,"['steak', 'large eggs', 'milk', 'flour', 'black pepper', 'paprika', 'cajun seasoning', 'salt', 'butter', 'whole milk']"
18,Southern-Fried-Pork-Chops-2151166,"['bone-in pork chops', 'flour', 'canola', 'butter', 'seasoning salt', 'black pepper', 'cayenne pepper']"
