num,id,ingredients
0,Cheesy-Skillet-Bean-_-Veggie-Taco-Meal-2256090,"['extra-virgin olive oil', 'red onion', 'mushrooms', 'zucchini', 'yellow squash', 'red bell pepper', 'black beans', 'sea salt', 'black pepper', 'chili powder', 'cumin', 'dried oregano', 'crushed red pepper', 'salsa', 'shredded cheddar cheese', 'diced tomatoes', 'green onions']"
1,Mini-Taco-Bowls-1473058,"['flour tortillas', 'extra lean ground beef', 'TACO BELL® Thick & Chunky Mild Salsa', 'shredded cheddar cheese', 'lettuce', 'tomatoes', 'KRAFT Classic Ranch Dressing']"
2,Chicken-and-Avocado-Burritos-1274149,"['tortillas', 'cooked chicken', 'avocado', 'monterey jack', 'salsa verde', 'sour cream', 'cilantro']"
3,Sheet-Pan-Chicken-Fajitas-2226063,"['chili powder', 'ground cumin', 'ground paprika', 'ground coriander', 'salt', 'freshly ground black pepper', 'boneless skinless chicken breasts', 'yellow bell pepper', 'yellow onion', 'garlic', 'olive oil', 'fresh lime juice', 'chopped cilantro', 'flour tortillas', 'sour cream', 'avocado slices', 'diced tomatoes', 'Mexican cheese blend']"
4,Crock-Pot-Santa-Fe-Chicken-2249937,"['chicken breasts', 'diced tomatoes', 'black beans', 'frozen corn', 'chopped fresh cilantro', 'fat-free chicken broth', 'scallions', 'garlic powder', 'onion powder', 'cumin', 'cayenne pepper', 'salt']"
5,Baked-Shredded-Beef-Tacos-2285349,"['chuck roast', 'green chilies', 'rotelle', 'salsa', 'chopped onion', 'Mexican style cheese', 'shells']"
6,Green-Chili-Turkey-Burgers-1611193,"['diced green chilies', 'ground turkey', 'cilantro', 'onions', 'cumin', 'chili powder', 'sea salt']"
7,20-Minute-Turkey-Chili-1044627,"['olive oil', 'onions', 'garlic cloves', 'ground turkey', 'salt', 'pepper', 'diced tomatoes', 'tomato paste', 'corn kernels', 'black beans', 'chili flakes', 'shredded cheddar cheese']"
8,Spicy-Butternut-Squash-Brown-Rice-Bowl-with-Cumin-Lime-Crema-2235553,"['extra-virgin olive oil', 'butternut squash', 'onions', 'chili powder', 'cumin', 'coriander', 'lime', 'maple syrup', 'summer squash', 'red pepper', 'olive oil', 'yogurt', 'cooked brown rice', 'black beans', 'avocado', 'veggies', 'salsa', 'pepitas', 'goat cheese', 'cilantro', 'sliced green onions']"
9,Vegetarian-Black-Bean-_-Sweet-Potato-Chili-2255497,"['olive oil', 'onions', 'cumin', 'red bell pepper', 'poblano peppers', 'chipotle peppers', 'adobo sauce', 'vegetable broth', 'diced tomatoes', 'black beans', 'sweet potatoes', 'avocado', 'chopped cilantro', 'lime', 'shredded cheddar cheese']"
10,Burrito-Pie-Casserole-2375703,"['flour tortillas', 'salsa', 'black beans', 'diced tomatoes', 'Marble Jack cheese', 'cilantro', 'green onions', 'guacamole', 'black olives']"
11,_Slow-Cooker_-Quinoa-Tex-Mex-2183079,"['quinoa', 'black beans', 'diced tomatoes', 'corn', 'sweet pepper', 'poblano chilies', 'minced garlic', 'yellow onion', 'chili powder', 'ground cumin', 'chicken broth', 'cilantro', 'fresh lime juice', 'taco seasoning', 'mozzarella cheese', 'green onions', 'salt', 'pepper']"
12,Southwestern-Skillet-Bake-2160873,"['ground beef', 'chunky salsa', 'whole kernel corn, drained', 'shredded cheddar cheese', 'Bisquick Baking Mix', 'eggs']"
13,One-Pot-Spicy-Taco-Rice-Skillet-2012209,"['ground beef', 'onions', 'bell pepper', 'diced tomatoes', 'salsa', 'long grain white rice', 'water', 'beef stock', 'cumin', 'cayenne pepper', 'chili powder', 'garlic powder', 'smoked paprika', 'shredded cheddar cheese', 'green onions', 'cilantro', 'olives']"
14,Chili-dog-casserole-368546,"['chili', 'hot dogs', 'flour tortillas', 'shredded cheddar cheese']"
